,club_id,first,last,nation,position,club,age,born,mp,starts,minutes,goals,assists,pk,pkatt,yellow_card,red_card
142,9,Joe,Corona,us USA,MF,LA Galaxy,28.0,1990.0,31.0,26.0,2323.0,1.0,1.0,0.0,0.0,6.0,0.0
143,17,Carlos,Coronel,br BRA,GK,Philadelphia Union,22.0,1996.0,4.0,3.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0
144,17,Warren,Creavalle,us USA,MF,Philadelphia Union,28.0,1990.0,13.0,5.0,369.0,0.0,1.0,0.0,0.0,0.0,0.0
145,24,Maxime,Crépeau,ca CAN,GK,Vancouver Whitecaps,24.0,1994.0,26.0,26.0,2340.0,0.0,0.0,0.0,0.0,2.0,0.0
146,4,Alex,Crognale,us USA,DF,Columbus Crew,24.0,1994.0,12.0,9.0,884.0,0.0,0.0,0.0,0.0,5.0,0.0
147,22,Yohan,Croizet,fr FRA,"FW,DF",Sporting Kansas City,26.0,1992.0,20.0,12.0,1092.0,3.0,1.0,0.0,0.0,4.0,0.0
148,13,Cody,Cropper,us USA,GK,New England Revolution,25.0,1993.0,7.0,7.0,630.0,0.0,0.0,0.0,0.0,1.0,0.0
149,6,Allan,Cruz,cr CRC,"MF,FW",FC Cincinnati,22.0,1996.0,22.0,21.0,1734.0,7.0,0.0,0.0,0.0,5.0,0.0
150,9,Emil,Cuello,us USA,"MF,FW",LA Galaxy,21.0,1997.0,9.0,2.0,195.0,0.0,2.0,0.0,0.0,1.0,0.0
151,20,Harold,Cummings,pa PAN,DF,San Jose Earthquakes,26.0,1992.0,16.0,16.0,1389.0,0.0,0.0,0.0,0.0,5.0,0.0
152,6,Rashawn,Dally,jm JAM,FW,FC Cincinnati,22.0,1997.0,12.0,8.0,544.0,1.0,0.0,0.0,0.0,0.0,0.0
153,20,Mario,Daniel Vega,ar ARG,GK,San Jose Earthquakes,34.0,1984.0,34.0,34.0,3060.0,0.0,0.0,0.0,0.0,1.0,0.0
154,11,Abu,Danladi,gh GHA,"FW,MF",Minnesota United,23.0,1995.0,24.0,4.0,718.0,2.0,2.0,0.0,0.0,3.0,0.0
156,8,Juan,David Cabezas,co COL,MF,Houston Dynamo,27.0,1991.0,15.0,5.0,538.0,1.0,0.0,0.0,0.0,4.0,0.0
157,15,Sean,Davis,us USA,MF,New York Red Bulls,25.0,1993.0,30.0,28.0,2557.0,0.0,1.0,0.0,0.0,0.0,0.0
158,16,Alex,DeJohn,us USA,DF,Orlando City SC,27.0,1991.0,6.0,6.0,403.0,0.0,0.0,0.0,0.0,1.0,0.0
159,8,A.J.,DeLaGarza,gu GUM,DF,Houston Dynamo,31.0,1987.0,23.0,23.0,1991.0,0.0,1.0,0.0,0.0,5.0,0.0
160,13,Antonio,Delamea Mlinar,si SVN,DF,New England Revolution,27.0,1991.0,17.0,16.0,1366.0,2.0,1.0,0.0,0.0,7.0,1.0
161,21,Jordy,Delem,mq MTQ,MF,Seattle Sounders FC,25.0,1993.0,23.0,17.0,1437.0,0.0,0.0,0.0,0.0,4.0,0.0
162,23,Nick,DeLeon,us USA,"MF,FW",Toronto FC,28.0,1990.0,32.0,23.0,1853.0,6.0,1.0,0.0,0.0,2.0,0.0
163,23,Marky,Delgado,us USA,MF,Toronto FC,23.0,1995.0,30.0,29.0,2548.0,2.0,5.0,0.0,0.0,4.0,0.0
164,6,Mathieu,Deplagne,fr FRA,DF,FC Cincinnati,27.0,1991.0,33.0,33.0,2875.0,1.0,1.0,0.0,0.0,4.0,0.0
165,6,Maikel,van der Werff,nl NED,DF,FC Cincinnati,29.0,1989.0,11.0,11.0,990.0,0.0,0.0,0.0,0.0,2.0,0.0
166,8,Tyler,Deric,us USA,GK,Houston Dynamo,30.0,1988.0,7.0,7.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0
167,21,Justin,Dhillon,us USA,FW,Seattle Sounders FC,23.0,1995.0,5.0,3.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0
168,12,Zakaria,Diallo,fr FRA,DF,Montreal Impact,32.0,1986.0,24.0,23.0,2036.0,3.0,2.0,0.0,0.0,2.0,1.0
169,4,Luis,Díaz,cr CRC,"FW,MF",Columbus Crew,20.0,1998.0,13.0,9.0,796.0,2.0,3.0,0.0,0.0,1.0,0.0
170,22,Eric,Dick,us USA,GK,Sporting Kansas City,24.0,1994.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
171,18,Claude,Dielna,GPE,DF,Portland Timbers,31.0,1987.0,15.0,12.0,1087.0,0.0,0.0,0.0,0.0,3.0,0.0
172,10,Adama,Diomande,no NOR,FW,LAFC,28.0,1990.0,25.0,15.0,1436.0,8.0,5.0,0.0,0.0,1.0,0.0
173,12,Clément,Diop,sn SEN,GK,Montreal Impact,25.0,1993.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
174,23,Griffin,Dorsey,us USA,DF,Toronto FC,19.0,1999.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
175,9,Jonathan,dos Santos,mx MEX,MF,LA Galaxy,28.0,1990.0,29.0,29.0,2542.0,2.0,3.0,1.0,1.0,5.0,0.0
176,11,Hassani,Dotson,us USA,"DF,MF",Minnesota United,21.0,1997.0,24.0,15.0,1410.0,4.0,0.0,0.0,0.0,2.0,0.0
177,15,Kyle,Duncan,us USA,DF,New York Red Bulls,21.0,1997.0,13.0,13.0,1078.0,1.0,2.0,0.0,0.0,4.0,0.0
178,5,Chris,Durkin,us USA,MF,DC United,18.0,2000.0,13.0,7.0,640.0,1.0,0.0,0.0,0.0,1.0,0.0
179,8,Chris,Duvall,us USA,DF,Houston Dynamo,27.0,1991.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
180,16,Dom,Dwyer,us USA,FW,Orlando City SC,28.0,1990.0,27.0,16.0,1616.0,7.0,3.0,0.0,0.0,6.0,1.0
