,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Matches
574,553,Amar Sejdic,us USA,MF,Montreal,22,1996,1,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches
575,554,Dillon Serna,us USA,"DF,MF",Colorado,24,1994,14,6,586,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.07,0.05,0.12,0.07,0.12,Matches
576,555,Brandon Servania,us USA,MF,FC Dallas,19,1999,18,13,1119,2,1,0,0,2,0,0.16,0.08,0.24,0.16,0.24,2.2,2.2,0.6,0.18,0.05,0.23,0.18,0.23,Matches
577,556,Jacob Shaffelburg,ca CAN,"MF,FW",Toronto FC,19,1999,10,8,668,0,1,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.8,0.8,1.0,0.10,0.14,0.24,0.10,0.24,Matches
578,557,Brek Shea,us USA,DF,Atlanta,28,1990,19,10,911,0,1,0,0,0,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,2.5,0.05,0.24,0.29,0.05,0.29,Matches
579,558,Andre Shinyashiki,br BRA,"FW,MF",Colorado,23,1995,31,18,1672,7,3,0,0,3,0,0.38,0.16,0.54,0.38,0.54,6.3,6.3,3.5,0.34,0.19,0.53,0.34,0.53,Matches
580,559,Harry Shipp,us USA,"FW,MF",Seattle,27,1991,25,15,1382,5,1,0,0,1,0,0.33,0.07,0.39,0.33,0.39,2.5,2.5,1.1,0.17,0.07,0.24,0.17,0.24,Matches
581,560,Shamit Shome,ca CAN,MF,Montreal,21,1997,27,18,1626,1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1.9,1.9,0.8,0.10,0.05,0.15,0.10,0.15,Matches
582,561,Danilo da Silva,br BRA,DF,Los Angeles FC,32,1986,5,2,225,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.06,0.05,0.11,0.06,0.11,Matches
583,562,Luis Silva,us USA,"FW,MF",Seattle,30,1988,5,2,198,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.0,0.55,0.01,0.56,0.55,0.56,Matches
584,563,Marcelo Silva,uy URU,DF,Real Salt Lake,29,1989,19,14,1345,2,0,0,0,3,1,0.13,0.00,0.13,0.13,0.13,0.4,0.4,0.2,0.03,0.01,0.04,0.03,0.04,Matches
585,564,Josh Sims,eng ENG,FW,NY Red Bulls,21,1997,7,5,476,0,1,0,0,0,0,0.00,0.19,0.19,0.00,0.19,0.9,0.9,0.5,0.18,0.10,0.28,0.18,0.28,Matches
586,565,Seth Sinovic,us USA,DF,Sporting KC,32,1987,22,21,1908,0,1,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.5,0.01,0.02,0.04,0.01,0.04,Matches
587,566,Pablo Sisniega,mx MEX,GK,Los Angeles FC,23,1995,6,6,540,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
588,567,Axel Sjöberg,se SWE,"DF,FW",Colorado,27,1991,7,5,435,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.06,0.00,0.06,0.06,0.06,Matches
589,568,Jørgen Skjelvik,no NOR,DF,LA Galaxy,27,1991,20,19,1681,1,2,0,0,4,0,0.05,0.11,0.16,0.05,0.16,0.8,0.8,2.1,0.05,0.11,0.16,0.05,0.16,Matches
590,569,Brad Smith,au AUS,DF,Seattle,24,1994,25,22,1972,0,5,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.5,0.5,4.3,0.02,0.20,0.22,0.02,0.22,Matches
591,570,Graham Smith,us USA,DF,Sporting KC,23,1995,11,10,882,1,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,1.1,1.1,0.1,0.11,0.01,0.12,0.11,0.12,Matches
592,571,Kyle Smith,us USA,DF,Orlando City,27,1992,23,15,1386,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.2,0.07,0.01,0.08,0.07,0.08,Matches
593,572,Tommy Smith,nz NZL,DF,Colorado,28,1990,27,27,2413,3,2,0,0,3,1,0.11,0.07,0.19,0.11,0.19,3.2,3.2,0.4,0.12,0.02,0.14,0.12,0.14,Matches
